,symbol,open,high,low,close,volume,pre-close,changeamount,change,date
0,AAPL,166.59,166.84,165.11,165.63,46278295.0,166.17,-0.54,-0.0032,2023-04-04
1,MSFT,287.23,290.45,285.67,287.18,25824299.0,287.23,-0.05,-0.0002,2023-04-04
2,GOOG,104.84,106.1,104.6,105.12,20377231.0,104.91,0.21,0.002,2023-04-04
3,GOOGL,104.33,105.58,104.04,104.72,24420074.0,104.36,0.36,0.0034,2023-04-04
4,AMZN,102.75,104.2,102.11,103.95,48662163.0,102.41,1.54,0.015,2023-04-04
5,BRK.A,472052.56,472052.56,464855.0,467660.0,4345.0,469760.0,-2100.0,-0.0045,2023-04-04
6,NVDA,279.66,280.0,273.07,274.53,36859100.0,279.65,-5.12,-0.0183,2023-04-04
7,BRK.B,310.76,311.0,307.07,309.07,2740216.0,310.31,-1.24,-0.004,2023-04-04
8,TSLA,197.32,198.74,190.32,192.58,126463795.0,194.77,-2.19,-0.0112,2023-04-04
9,META,213.39,216.24,212.54,214.72,21026258.0,213.07,1.65,0.0077,2023-04-04
10,JNJ,156.97,158.97,156.59,158.49,8314248.0,156.85,1.64,0.0105,2023-04-04
11,V,229.0,230.05,226.83,227.66,5254719.0,229.0,-1.34,-0.0059,2023-04-04
12,TSM,93.04,93.28,91.72,92.17,6338277.0,92.84,-0.67,-0.0072,2023-04-04
13,XOM,116.26,116.7,114.17,115.02,16365489.0,116.13,-1.11,-0.0096,2023-04-04
14,UNH,493.03,496.1,491.84,493.25,2624353.0,494.19,-0.94,-0.0019,2023-04-04
15,WMT,148.53,148.79,147.02,147.23,6037840.0,148.69,-1.46,-0.0098,2023-04-04
16,JPM,130.5,130.59,127.41,128.42,11579913.0,130.16,-1.74,-0.0134,2023-04-04
17,VXUS,55.6,55.77,55.41,55.58,3083632.0,55.61,-0.03,-0.0005,2023-04-04
18,NVO,158.91,160.1,157.85,158.58,1577538.0,159.6,-1.02,-0.0064,2023-04-04
19,PG,150.08,151.71,150.08,150.23,6714232.0,149.51,0.72,0.0048,2023-04-04
20,MA,366.8,369.12,363.38,363.9,2198645.0,366.47,-2.57,-0.007,2023-04-04
21,LLY,352.07,359.0,351.27,354.62,3585768.0,350.74,3.88,0.0111,2023-04-04
22,CVX,171.14,171.14,167.72,169.04,7521414.0,169.95,-0.91,-0.0054,2023-04-04
23,HD,297.5,299.8,294.39,294.96,2965547.0,297.73,-2.77,-0.0093,2023-04-04
24,ABBV,160.51,161.73,159.53,159.78,4224607.0,160.42,-0.64,-0.004,2023-04-04
25,MRK,108.7,109.34,108.16,108.83,6108118.0,108.87,-0.04,-0.0004,2023-04-04
26,KO,62.39,62.74,62.08,62.21,11433180.0,62.4,-0.19,-0.003,2023-04-04
27,AVGO,643.15,644.24,632.0,634.41,1300624.0,642.47,-8.06,-0.0125,2023-04-04
28,ASML,675.88,681.6,666.06,668.68,877886.0,673.99,-5.31,-0.0079,2023-04-04
29,BABA,98.94,101.47,97.26,100.72,26868284.0,98.39,2.33,0.0237,2023-04-04
30,ORCL,93.85,94.02,92.93,94.0,6651365.0,93.92,0.08,0.0009,2023-04-04
31,PEP,182.18,183.36,181.1,181.85,3306387.0,182.5,-0.65,-0.0036,2023-04-04
32,PFE,41.44,41.53,40.76,40.9,19514506.0,41.35,-0.45,-0.0109,2023-04-04
33,BAC,28.55,28.65,27.66,27.98,56233267.0,28.59,-0.61,-0.0213,2023-04-04
34,TMO,571.39,580.24,568.94,576.18,1071751.0,570.07,6.11,0.0107,2023-04-04
35,COST,496.5,502.58,495.5,497.73,1913280.0,497.03,0.7,0.0014,2023-04-04
36,AZN,69.98,70.57,69.81,70.25,4383186.0,69.91,0.34,0.0049,2023-04-04
37,CSCO,52.03,52.12,51.43,51.82,13599795.0,51.92,-0.1,-0.0019,2023-04-04
38,SHEL,60.2,60.21,59.11,59.5,5158863.0,60.51,-1.01,-0.0167,2023-04-04
39,MCD,281.41,283.42,280.39,282.28,2282201.0,282.14,0.14,0.0005,2023-04-04
40,NVS,92.64,93.59,92.59,93.48,2337633.0,92.52,0.96,0.0104,2023-04-04
