,symbol,name,open,high,low,close,volume,pre-close,aggregateMarketValue,circulationMarketValue,changeamount,change,date
0,bj873122,中纺标,37.0,51.22,36.08,51.22,9067500.0,39.4,4732835972.0,668036850.0,11.82,0.3,2024-01-25
1,bj871753,天纺标,24.0,32.5,23.39,32.5,14410100.0,25.0,2645641960.0,693647500.0,7.5,0.3,2024-01-25
2,bj835892,中科美菱,12.84,17.05,12.6,16.18,12029500.0,13.23,1565106512.0,451392504.0,2.95,0.223,2024-01-25
3,sz300374,中铁装配,12.93,14.68,12.9,14.68,33703400.0,12.23,3609993107.0,2778370182.0,2.45,0.2003,2024-01-25
4,sz300788,中信出版,25.39,30.34,24.7,30.34,8903900.0,25.28,5769196965.0,5769196965.0,5.06,0.2002,2024-01-25
5,sz301508,中机认检,29.88,36.72,29.74,36.72,23760000.0,30.6,8301848544.0,1577255715.0,6.12,0.2,2024-01-25
6,sz301230,泓博医药,29.55,34.8,29.5,34.8,4551700.0,29.0,3745268777.0,2066133977.0,5.8,0.2,2024-01-25
7,sz301046,能辉科技,22.8,26.82,22.79,26.82,6943500.0,22.35,4014698835.0,1582175793.0,4.47,0.2,2024-01-25
8,sz301024,霍普股份,26.48,31.15,26.48,31.15,2496300.0,25.96,1980672750.0,552523125.0,5.19,0.1999,2024-01-25
9,sz300899,上海凯鑫,34.0,37.16,34.0,37.16,14686200.0,30.97,2370193597.0,1521184213.0,6.19,0.1999,2024-01-25
10,sh688648,中邮科技,24.0,29.18,24.0,29.18,14893900.0,24.32,3968480000.0,839219981.0,4.86,0.1998,2024-01-25
11,sh688569,铁科轨道,23.6,28.82,23.6,28.65,6061800.0,24.13,6035600955.0,3772250955.0,4.52,0.1873,2024-01-25
12,sz301161,唯万密封,18.04,21.14,17.83,21.05,4860400.0,17.78,2526000000.0,1122554400.0,3.27,0.1839,2024-01-25
13,sz300847,中船汉光,14.27,17.09,14.14,16.94,25559900.0,14.39,5014409400.0,5014409400.0,2.55,0.1772,2024-01-25
14,sz300961,深水海纳,9.62,11.29,9.57,11.19,10299400.0,9.54,1983763200.0,1375927648.0,1.65,0.173,2024-01-25
15,bj872808,曙光数创,34.21,41.11,33.21,40.04,5901500.0,34.17,8008000040.0,7720751198.0,5.87,0.1718,2024-01-25
16,bj831526,凯华材料,23.42,28.06,23.35,27.55,9124500.0,23.7,2278385000.0,679935873.0,3.85,0.1624,2024-01-25
17,bj835579,机科股份,18.2,22.38,18.12,21.48,12246000.0,18.63,2781230400.0,743968392.0,2.85,0.153,2024-01-25
18,sh688168,安博通,28.38,32.79,27.9,32.37,2651900.0,28.24,2469594958.0,2469594958.0,4.13,0.1462,2024-01-25
19,sh688247,宣泰医药,9.2,10.51,8.99,10.33,6934300.0,9.06,4683002200.0,1464908663.0,1.27,0.1402,2024-01-25
20,bj836892,广咨国际,12.53,14.6,12.19,14.12,4595200.0,12.45,1822243271.0,1571430600.0,1.67,0.1341,2024-01-25
21,bj873693,阿为特,33.42,40.4,33.06,38.4,3794700.0,33.89,2791680000.0,779520000.0,4.51,0.1331,2024-01-25
22,sz301289,国缆检测,44.32,50.88,44.32,49.55,4742100.0,43.96,3864900000.0,1256087595.0,5.59,0.1272,2024-01-25
23,bj833266,生物谷,10.44,11.78,10.07,11.62,9723500.0,10.36,1440880081.0,1095520307.0,1.26,0.1216,2024-01-25
24,sz300536,农尚环境,20.0,22.35,19.81,22.29,16284200.0,19.88,6537392485.0,6536614720.0,2.41,0.1212,2024-01-25
25,sh688218,江苏北人,16.85,17.98,16.54,17.52,7625700.0,15.7,2070712014.0,2070712014.0,1.82,0.1159,2024-01-25
26,sz301516,中远通,18.88,22.38,18.68,21.42,30064500.0,19.2,6012631592.0,1325273264.0,2.22,0.1156,2024-01-25
27,sz300039,上海凯宝,5.72,6.62,5.69,6.38,51682200.0,5.72,6673480000.0,5849485576.0,0.66,0.1154,2024-01-25
28,sz300678,中科信息,27.27,32.0,26.83,30.52,34049300.0,27.45,9045709662.0,8667998781.0,3.07,0.1118,2024-01-25
29,sh688009,中国通号,4.24,4.79,4.21,4.69,109948600.0,4.22,49666251110.0,40432574420.0,0.47,0.1114,2024-01-25
30,sh688102,斯瑞新材,10.45,11.33,10.24,11.25,9832200.0,10.15,6300157500.0,3598513943.0,1.1,0.1084,2024-01-25
31,sz300598,诚迈科技,39.02,41.99,38.4,40.83,8248400.0,36.86,6815838010.0,6815031904.0,3.97,0.1077,2024-01-25
32,sz300553,集智股份,25.61,28.5,25.61,28.37,2872500.0,25.65,2301374400.0,1519597914.0,2.72,0.106,2024-01-25
33,sz301037,保立佳,16.44,18.38,16.44,18.18,2244200.0,16.44,1819960149.0,513672719.0,1.74,0.1058,2024-01-25
34,sh688128,中国电研,17.17,19.07,16.83,18.7,7865700.0,16.93,7564150000.0,7564150000.0,1.77,0.1045,2024-01-25
35,sz301306,西测测试,30.01,33.14,29.87,33.12,2012600.0,29.99,2795328000.0,1300953600.0,3.13,0.1044,2024-01-25
36,sh688146,中船特气,28.07,32.0,28.0,30.88,4919600.0,27.98,16348235303.0,1961788243.0,2.9,0.1036,2024-01-25
37,sz301273,瑞晨环保,23.38,25.98,23.15,25.82,1552200.0,23.4,1849791069.0,894128319.0,2.42,0.1034,2024-01-25
38,sh600622,光大嘉宝,2.54,2.81,2.54,2.81,77789700.0,2.55,4214115980.0,4214115980.0,0.26,0.102,2024-01-25
39,sh600705,中航产融,3.2,3.47,3.17,3.47,356430300.0,3.15,30622383103.0,30551354171.0,0.32,0.1016,2024-01-25
40,sh601068,中铝国际,4.22,4.68,4.22,4.68,10788600.0,4.25,13848432002.0,11978884322.0,0.43,0.1012,2024-01-25
